Interface                      Status         Protocol           Description
Et1                            up             up                 P2P_LINK_TO_DC2_SPINE1_Ethernet2
Et2                            up             up                 P2P_LINK_TO_DC2_SPINE2_Ethernet2
Et3                            up             up                 MLAG_PEER_DC2_LEAF1A_Ethernet3
Et4                            up             up                 MLAG_PEER_DC2_LEAF1A_Ethernet4
Et5                            up             up                 dc2-server01_Eth2
Et6                            up             up                 dc2-server02_Eth2
Lo0                            up             up                 EVPN_Overlay_Peering
Lo1                            up             up                 VTEP_VXLAN_Tunnel_Source
Lo110                          up             up                 RED_VTEP_DIAGNOSTICS
Lo210                          up             up                 BLUE_VTEP_DIAGNOSTICS
Ma0                            up             up                 oob_management
Po3                            up             up                 MLAG_PEER_DC2_LEAF1A_Po3
Po5                            up             up                 dc2-server01_PortChannel5
Po6                            up             up                 dc2-server02_PortChannel6
Vl120                          up             up                 VRF_RED_VLAN_120
Vl121                          up             up                 VRF_BLUE_VLAN_121
Vl1198                         up             up                 
Vl1199                         up             up                 
Vl4093                         up             up                 MLAG_PEER_L3_PEERING
Vl4094                         up             up                 MLAG_PEER
Vx1                            up             up                 DC2_LEAF1B_VTEP
