Interface                      Status         Protocol           Description
Et1                            up             up                 P2P_LINK_TO_DC2_SPINE1_Ethernet4
Et2                            up             up                 P2P_LINK_TO_DC2_SPINE2_Ethernet4
Et3                            up             up                 MLAG_PEER_DC2_LEAF2A_Ethernet3
Et4                            up             up                 MLAG_PEER_DC2_LEAF2A_Ethernet4
Et5                            up             up                 dc2-server03_Eth2
Et6                            up             up                 dc2-server04_Eth2
Lo0                            up             up                 EVPN_Overlay_Peering
Lo1                            up             up                 VTEP_VXLAN_Tunnel_Source
Lo110                          up             up                 RED_VTEP_DIAGNOSTICS
Lo210                          up             up                 BLUE_VTEP_DIAGNOSTICS
Ma0                            up             up                 oob_management
Po3                            up             up                 MLAG_PEER_DC2_LEAF2A_Po3
Po5                            down           lowerlayerdown     dc2-server03_PortChannel5
Po6                            down           lowerlayerdown     dc2-server04_PortChannel6
Vl110                          up             up                 VRF_RED_VLAN_110
Vl112                          up             up                 VRF_RED_VLAN_112
Vl120                          up             up                 VRF_RED_VLAN_120
Vl122                          up             up                 VRF_RED_VLAN_122
Vl211                          up             up                 VRF_BLUE_VLAN_211
Vl213                          up             up                 VRF_BLUE_VLAN_213
Vl221                          up             up                 VRF_BLUE_VLAN_221
Vl223                          up             up                 VRF_BLUE_VLAN_223
Vl1198                         up             up                 
Vl1199                         up             up                 
Vl3109                         up             up                 MLAG_PEER_L3_iBGP: vrf RED
Vl3209                         up             up                 MLAG_PEER_L3_iBGP: vrf BLUE
Vl4093                         up             up                 MLAG_PEER_L3_PEERING
Vl4094                         up             up                 MLAG_PEER
Vx1                            up             up                 DC2_LEAF2B_VTEP
